Name of Periodical,Issues,Primary Language,Time Period (ACP = American Colonial Period; IP = Independent Period; SCP = Spanish Colonial Period)
Adult Education in Action ,"December 1938 (I.6), June 1939 (II.6)",English,ACP
Adult Education in Action ,"February 1951 (IX.1), March 1951 (IX.2), May 1951 (IX.3), July 1951 (IX.4), September 1951 (IX.5), November 1951 (IX.6), January 1950 (VIII.1), May 1950 (VIII.3), September 1950 (VIII.5), November 1950 (VIII.6)",English,IP
American Oldtimer,"October 1935 (II.12), November 1935 (III.1), April 1936 (III.6), January 1940 (VII.3), February 1940 (VII.4), ",English,ACP
Ang Ebangheliko,October 1938 (I.4),Tagalog/Filipino,ACP
Ang Ebangheliko ,September 1938 (I.3),Tagalog/Filipino,ACP
Ang Espiritismo,April 1949,Tagalog/Filipino,IP
Ang Espiritismo,August 1948,Tagalog/Filipino,IP
Ang Espiritismo,June 1948,Tagalog/Filipino,IP
Ang Espiritismo,March 1948,Tagalog/Filipino,IP
Ang Tanglaw,April 8 1905 (XIV),Tagalog/Filipino,ACP
Ang Wika,November 1 1920 (I.2),Tagalog/Filipino,ACP
Ang Wika,November 16 1920 (I.3),Tagalog/Filipino,ACP
Ang Wika,October 16 1921 (II.25),Tagalog/Filipino,ACP
Ang Wika Taon,October 16 1920 (I.1),Tagalog/Filipino,ACP
Ateneo Quarterly,"August 1949 (I.1), October 1949 (I.2), December 1949 (I.3), March 1950 (I.4), August 1950 (II.1), October 1950 (II.2), August 1951 (III.1), October 1951 (III.1)",English,IP
Bangon,February 28 1909 (I.2),Tagalog/Filipino,ACP
Bangon,April 15 1909 (I.5),Tagalog/Filipino,ACP
Bangon,April 30 1909 (I.6),Tagalog/Filipino,ACP
Bangon,May 31 1909 (I.8),Tagalog/Filipino,ACP
Bangon,July 31 1909 (I.12),Tagalog/Filipino,ACP
Bangon,February 15 1909 (I.1),Tagalog/Filipino,ACP
Boletín de la Cámara de Comercio Filipina,April 1905 (II.20),Spanish,ACP
Boletín Oficial de la Cámara de Comercio Española en Filipinas,"June 1905 (II.20), August 1907 (IV.46)",Spanish,ACP
Bulaklak,October 8 1952 (IX.28),Tagalog/Filipino,IP
Bulaklak,December 3 1952 (IX.36),Tagalog/Filipino,IP
Bulaklak,March 19 1952 (VIII.51),Tagalog/Filipino,IP
Bulaklak,May 27 1952 (X.8),Tagalog/Filipino,IP
Damdaming Bayan,November 30 1948 (III.1),Tagalog/Filipino,IP
Domus Aurea,July (I.2)-Sep (I.4) 1908,Spanish,ACP
El Arte Taquigráfico,"May 23, 1907",Spanish,ACP
El Bello Sexo,"April 7 1891 (I.13) , June 23 1891 (I.23), May 31 1891 (I.12), October 28 1891 (I.40), June 30 1891 (I.24), February 28 1891 (I.8), September 14 (I.34) 1891, August 21 (I.31), May 15 (I.18), 21 April (I.15)",Spanish,SCP
El Diablillo Suelto,June 15 1893 (I.9),Spanish,SCP
El Heraldo de la Revolución,January 1 1899 (I.1),Spanish,SCP
El Heraldo de la Revolución,January 19 1899 (II.6),Spanish,SCP
El Heraldo de la Revolución,January 22 1899 (II.7),Spanish,SCP
El Heraldo de la Revolución,November 27 1898 (I.18),Spanish,SCP
El Heraldo de la Revolución,December 1 1898 (I.19),Spanish,SCP
El Heraldo de la Revolución,December 8 1898 (I.21),Spanish,SCP
El Heraldo de la Revolución,December 11 1898 (I22),Spanish,SCP
El Heraldo de la Revolución,December 15 1898 (I.23),Spanish,SCP
El Heraldo de la Revolución,December 18 1898 (I.24),Spanish,SCP
El Heraldo de la Revolución,December 22 1898 (I.25),Spanish,SCP
El Heraldo de la Revolución,December 25 1898 (I.26),Spanish,SCP
El Heraldo de la Revolución,December 29 1898 (I.27),Spanish,SCP
El Mensajero,"January 1921 (IV.9), February 1921 (IV.10)",Spanish,ACP
El Nacionalismo,8 December 1906 (I.1),Spanish,ACP
El Oriente,Jan 1 1877 (III.1),Spanish,SCP
Estudio (Vol. 1),"January 20 1923 (I.3), January 27 1923 (I.4), March 31 1923 (I.13), April 7 1923 (I.14), April 14 1923 (I.15), April 21 1923 (I.16), April 28 1923 (I.17), May 8 1923 (I.18), May 12 1923 (I.19), May 19 1923 (I.20), May 26 1923 (I.21), June 2 1923 (I.22), June 9 1923 (I.23), June 16 1923 (I.24), June 23 1923 (I.25), June 30 1923 (I.26) ",Spanish,ACP
Estudio (Vol. 2),"July 21 1923 (II.29), July 28 1923 (II.30), August 4 1923 (II.31), August 25 1923 (II.34), September 1 1923 (II.35), September 8 1923 (II.36), September 15 1923 (II.37), September 22 1923 (II.38), September 29 1923 (II.39), October 6 1923 (II.40), October 13 1923 (II.41), October 20 1923 (II.42), October 27 1923 (II.43), November 3 1923 (II.44), November 10 1923 (II.45), November 17 1923 (II.46), November 24 1923 (II.47), December 1 1923 (II.48), December 8 1923 (II.49), December 22 1923 (II.51), December 29 1923 (II.52)",Spanish,ACP
Estudio (Vol. 3),"January 5 1924 (III.53), January 12 1924 (III.54), January 19 1924 (III.55), January 26 1924 (III.56), February 2 1924 (III.58), February 9 1924 (III.59), February 16 1924, February 23 1924 (III.60), March 1 1924 (III.61), March 5 1924 (III.62), March 15 1924 (III.63), March 22 1924 (III.64)",Spanish,ACP
Estudio (Vol. 4),"July 19 1924 (IV.81), July 26 1924 (IV.82), August 2 1924 (IV.83), August 9 1924 (IV.84), August 16 1924 (IV.85), August 23 1924 (IV.86), August 30 1924 (IV.87), September 6 1924 (IV.88), September 13 1924 (IV.89), September 20 1924 (IV.90), September 27 1924 (IV.91), October 25 1924 (IV.95), November 1 1924 (IV.96), November 8 1924 (IV.97), November 15 1924 (IV.98), November 22 1924 (IV.99), November 29 1924 (IV.100)",Spanish,ACP
Excelsior,"October 10, 1929",Spanish,ACP
Excelsior,"August 20, 1929",Spanish,ACP
Excelsior,"July 20, 1929",Spanish,ACP
Excelsior,"Feburary 20 1929, March 10 1929, May 10 1929, June 10 1929, August 10 1929, August 30 1929, September 10 1929, September 30 1929, October 20 1929, February 10 1929, September 20 1929",Spanish,ACP
Excelsior,"January 10 1932, Jan 30, Feb 10, Feb 29, April 20, April 30, May 10, May 30, June 10, June 30, August 20, August 30, September 10, September 20, September 30, October 10, October 20, October 30, November 10, November 20, November 30, December 10",Spanish,ACP
Excelsior ,"September 20, 1929",Spanish,ACP 
Filipinas ante Europa,"October 25 1899 (I.1), November 10 1899 (I.2), November 25 1899 (I.3), December 10 1899 (I.4), December 30 1899 (I.5), January 10 1900 (II.6), January 25 1900 (II.7), June 25 1900 (II.17), July 10 1900 (II.18), July 25 1900 (II.19), August 10 1900 (II.20), August 21 1900 (II.21), September 10 1900 (II.22), September 25 1900 (II.23), October 10 1900 (II.24), October 25 1900 (II.25), November 10 1900 (II.26), November 25 (II.27), December 10 1900 (II.28),, December 25 1900 (II.29)",Spanish,SCP
Flying News,"Issue 1 (1971), Issue 2 (1971), Issue 3 (1971), Issue 1 (1972), Issue 2 (1972), Issue 1 (1973)",English,IP
Gossips and Scandals,September 29 1934 (25),English,ACP
Graphic,January 30 1936 (IX.33),English,ACP
Graphic,"September 7, 1933",English,ACP
Graphic,February 6 1936 (IX.34),English,ACP
Graphic,February 13 1936 (IX.35),English,ACP
Graphic,February 20 1936 (IX.36),English,ACP
Graphic,February 27 1936 (IX.37),English,ACP
Graphic,March 5 1936 (IX.38),English,ACP
Graphic,March 12 1936 (IX.39),English,ACP
Graphic,May 14 1936 (IX.48),English,ACP
Graphic,May 21 1936 (IX.49),English,ACP
Graphic,May 28 1936 (IX.50),English,ACP
Graphic,June 4 1936 (IX.51),English,ACP
Graphic,September 3 1936 (X.12),English,ACP
Graphic,July 2 1936 (X.3),English,ACP
Graphic,"January 4, 1934",English,ACP
Graphic,"May 5, 1936",English,ACP
Graphic,August 28 1948 (XVI.1),English,IP
Guerilla,August 15 1945 (II.22),English,ACP
Himagsikan,April 1929 (I.3),Tagalog/Filipino,ACP
Ilang-Ilang,November 10 1945 (I.4),Tagalog/Filipino,ACP
Ilang-Ilang,November 3 1945 (I.3),Tagalog/Filipino,ACP
Ilang-Ilang,October 12 1947 (II.52),Tagalog/Filipino,IP
Kayumanggi,April 1946 (I.1),Tagalog/Filipino,ACP
Kayumanggi,April 29 1946 (I.2),Tagalog/Filipino,ACP
Khaki and Red,"July 1933 (VIII.7), May 1932 (VII.5), August 1935 (XV.8)",English,ACP
Khaki and Red,"November-December 1962, June 1949 (I.3), Oct 1949 (I.7), July-August 1963, March-April 1963,  September-October 1962",English,IP
La Ilustración del Oriente,"October 7  1877 (I.1) , October 14 1877 (I.2), October 21 1877 (I.3), October 28 1877 (I.4), November 4 1877 (I.5),  November 11 1877 (I.6)",Spanish,SCP
La Jurisprudencia,December 1907 (III.5),Spanish,ACP
La Juventud,January 19 1902 (I.4),Spanish,ACP
La Malasia,December 10 1898 (I.1),Spanish,SCP
La Patria,December 29 1902 (I.34),Spanish,ACP
La Pavera,"March 26 1892 (I.2), April 10 1892 (I.5),  April 17 (I.7), April 24 (I.8)",Spanish,SCP 
La Puya,"August 8 1892 (I.1), August 16 1892 (I.2), August 24 1892 (I.3), September 1 1892 (I.4), October 1 1892 (I.8), October 10 1892 (I.8), October 20 1892 (I.9), November 1 1892 (I.10), November 10 1892 (I.11), November 20 1892 (I.12), December 10 1892 (I.14), February 1 1893 (I.19)",Spanish,SCP
La Solidaridad,"June 27 1906 (I.1), July 27 1906 (I.2), March 16 1907 (II.3), April 6 1907 (II.5), April 20 1907 (II.7), April 27 1907 (II.8)",Spanish,ACP
La Verdad,Feb 1918 (I.2),Spanish,ACP
Las Noticias,"2 August 1905 (I.1), 20 August 1905 (I.18)",Spanish,ACP
Mercurio,February 15 1906 (V.27),Spanish,ACP
Minerva,July 1 1920 (I.1),English,ACP
Revista Historica de Filipinas,May 1905 (I.1) - April 1906 (I.12),Spanish,ACP
Revista Popular de Filipinas,September 1 1888,Spanish,SCP
Sandata,November 1 1936 (I.4),Tagalog/Filipino,ACP
Semana,"January 6 1949 (I.3), February 3 1949 (I.7), February 10 1949 (I.8), March 10 1949 (I.12), April 7 1949 (I.16), May 3 1949 (I.20), May 12 1949 (I.21), June 2 1949 (I.24) ",Spanish,IP
Silahis,March 1 1936 (I.1),Tagalog/Filipino,ACP
Silahis,January 1 1949 (IV.17),Tagalog/Filipino,IP
The American Chamber of Commerce Journal,"January 1929 (IX.1), February 1929 (IX.2), March 1929 (IX.3), April 1929 (IX.4), May 1929 (IX.5), June 1929 (IX.6), July 1929 (IX.7), August 1929 (IX.8), September 1929 (IX.9), October 1929 (IX.10), November 1929(IX.11), December 1929 (IX.12)",English,ACP
The Apostle,"October 1965, January 1966 (XXXV.4), February 1966 (XXXV.5),  April 1966 (XXXV.7), July 1966 (XXXV.8), August 1966 (XXXV.9), September 1966 (XXXV.10), October 1966 (XXXVI.1), November 1966 (XXXVI.2), December 1966 (XXXVI.3)",English,IP
The Freeman,June 7 1945 (I.5),English,ACP
Yugo,January - March 1938,Spanish,ACP
